id,submission_time,vote_number,question_id,message,image
1,1493398154,4,1,"You need to use brackets: my_list = []",
2,1493088154,35,1,"Look it up in the Python docs",
65o,1673739903,0,28p,Step 1 - Apply to a course at Codecool,
75m,1673739911,0,28p,Step 2 - Git gud,
43q,1673740051,0,2,scroll test,
63b,1673740053,0,2,scroll test,
85e,1673740056,0,2,scroll test,
39e,1673740059,0,2,scroll test,
86v,1673740061,0,2,scroll test,
77j,1673740064,0,2,scroll test,
17v,1673740076,0,2,scroll test,
13s,1673740078,0,2,scroll test,
52g,1673740079,0,2,scroll test,
55j,1673740080,0,2,scroll test,
32i,1673740082,0,2,scroll test,
